productLink,product name,current price,min price,max price,special_conditions,purchaseType,coupon,market place,channel
https://www.amazon.com.br/Celular-Positvo-P41-Tela-R%C3%A1dio/dp/B0BV3FLK6M/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.yVWDyZmVQFEEu6sZYnGojatv8Okxx3YN0i4BKPArHrJMg73COVCMFTXGDI5yeLGDJr4TcQbhLFvMi-GWSw8IZZ6JFnTMNd6ZZZrdS4KO05lP9wcyp5egye8Pe-z9EbHQcgxXS6B4hqXeigiBXFsAZxjPRty0rKF_9rmDiQB8ZLZq7nNm_qIaNVOmhMmew3Gz8oNnaPXRZOG9_ovkEaS4665jryFGT3DT6dZxyqpoZ8CT9VjT7dNhOHX2hzxOk2jUdI5iJsckfsaz6l-9XSWRYCF8RCO_eKalhZEdXCzAEcM.NgxLURiP8eoNNy7n1k4ZR5JCkRWTmIJaWefaV_q2gpI&dib_tag=se&keywords=mobile&qid=1745580418&sr=8-2-spons&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,,,,,only brazil people,tax brazil,FYFUTDY,amazon,"https://t.me/messging_sending_testing,https://t.me/KJDHJKD"
https://www.amazon.com.br/dp/B08W1RDD5Z/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B08W1RDD5Z&pd_rd_w=VQXij&content-id=amzn1.sym.1868afab-d777-4b70-8899-1b323ad91d95&pf_rd_p=1868afab-d777-4b70-8899-1b323ad91d95&pf_rd_r=R7DP4BX3JK6MTT0XQR20&pd_rd_wg=V12tv&pd_rd_r=b700ade9-c222-4ade-a50f-291d9277865e&s=wireless&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,,,,,only brazil people,tax brazil,FYFUTDY,amazon,"https://t.me/messging_sending_testing,https://t.me/KJDHJKD"
https://www.amazon.com.br/CHIP-CLARO-PREZ%C3%83O-MENSAL-RECARGA/dp/B089KXRXMX/ref=pd_sim_d_sccl_3_6/131-1609881-0823228?pd_rd_w=2ob7C&content-id=amzn1.sym.8555f615-361b-42f7-96c4-206bb8a5174e&pf_rd_p=8555f615-361b-42f7-96c4-206bb8a5174e&pf_rd_r=WJ26V5K4ZM76M2QYZNHV&pd_rd_wg=CBs5C&pd_rd_r=21679906-0137-4666-b068-677868e99eef&pd_rd_i=B089KXRXMX&psc=1,,,,,only brazil people,tax brazil,FYFUTDY,amazon,"https://t.me/messging_sending_testing,https://t.me/KJDHJKD"
https://www.amazon.com.br/Suco-Integral-Mitto-Vidro-300ml/dp/B07XMH45FT/ref=pd_sim_d_sccl_3_4/131-1609881-0823228?pd_rd_w=gcUAv&content-id=amzn1.sym.8555f615-361b-42f7-96c4-206bb8a5174e&pf_rd_p=8555f615-361b-42f7-96c4-206bb8a5174e&pf_rd_r=YHHGAA6CV0ZJ27S716C6&pd_rd_wg=GDYma&pd_rd_r=4da9c217-c180-4925-a8af-83b6b7f65726&pd_rd_i=B07XMH45FT&psc=1,,,,,only brazil people,tax brazil,FYFUTDY,amazon,"https://t.me/messging_sending_testing,https://t.me/KJDHJKD"
https://www.amazon.com.br/dp/B08YGFWYVB/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B08YGFWYVB&pd_rd_w=FNIUj&content-id=amzn1.sym.1868afab-d777-4b70-8899-1b323ad91d95&pf_rd_p=1868afab-d777-4b70-8899-1b323ad91d95&pf_rd_r=1996TK3MZRGJJHTH341C&pd_rd_wg=YiHoH&pd_rd_r=cc67695f-dfb5-447f-96f2-f29ff0e00c97&s=grocery&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,,,,,only brazil people,tax brazil,FYFUTDY,amazon,"https://t.me/messging_sending_testing,https://t.me/KJDHJKD"
https://www.amazon.com.br/dp/B09KM7SH9N/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B09KM7SH9N&pd_rd_w=KMLmA&content-id=amzn1.sym.b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_p=b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_r=MX4WW4THKBQYYVC2ZWEA&pd_rd_wg=6aSCv&pd_rd_r=05faf58f-d3f9-406f-b093-43e27ddd1f7f&s=grocery&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy,,,,,only brazil people,tax brazil,FYFUTDY,amazon,"https://t.me/messging_sending_testing,https://t.me/KJDHJKD"
https://www.amazon.com.br/Banana-Zero-Cartela-180G-Dacolonia/dp/B084XRZL7G/ref=pd_vtp_h_pd_vtp_h_d_sccl_3/131-1609881-0823228?pd_rd_w=ySmNs&content-id=amzn1.sym.1cf25150-063e-419e-86a9-17ce508bc218&pf_rd_p=1cf25150-063e-419e-86a9-17ce508bc218&pf_rd_r=BFGKGSASK3SDF0YE4EF3&pd_rd_wg=fA5Yu&pd_rd_r=56adaf78-4824-4f16-814b-b6f7e4ec3623&pd_rd_i=B084XRZL7G&psc=1,,,,,only brazil people,tax brazil,FYFUTDY,amazon,"https://t.me/messging_sending_testing,https://t.me/KJDHJKD"
https://www.amazon.com.br/Pa%C3%A7oca-Rolha-A%C3%A7ucar-Dacol-170Gr/dp/B07MBR953G/ref=pd_vtp_h_pd_vtp_h_d_sccl_4/131-1609881-0823228?pd_rd_w=YNoCx&content-id=amzn1.sym.1cf25150-063e-419e-86a9-17ce508bc218&pf_rd_p=1cf25150-063e-419e-86a9-17ce508bc218&pf_rd_r=HG686W9FR6V8A3J2E5D1&pd_rd_wg=pRzNN&pd_rd_r=4e6a1a33-7596-4157-9b6a-35044750eca8&pd_rd_i=B07MBR953G&psc=1,,,,,only brazil people,tax brazil,FYFUTDY,amazon,"https://t.me/messging_sending_testing,https://t.me/KJDHJKD"
https://www.amazon.com.br/dp/B0B7TMXTGL/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B0B7TMXTGL&pd_rd_w=hOaCZ&content-id=amzn1.sym.1868afab-d777-4b70-8899-1b323ad91d95&pf_rd_p=1868afab-d777-4b70-8899-1b323ad91d95&pf_rd_r=QSSS9QH81ZR1TFV2MVSH&pd_rd_wg=oXamc&pd_rd_r=474e26b5-f86d-48ba-a8da-23af2b9016fa&s=grocery&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,,,,,only brazil people,tax brazil,FYFUTDY,amazon,"https://t.me/messging_sending_testing,https://t.me/KJDHJKD"
https://www.amazon.com.br/MENTOS-Garrafa-Mascar-A%C3%A7%C3%BAcar-Mentos/dp/B07MPPY3CV/ref=pd_vtp_h_pd_vtp_h_d_sccl_3/131-1609881-0823228?pd_rd_w=scTmj&content-id=amzn1.sym.1cf25150-063e-419e-86a9-17ce508bc218&pf_rd_p=1cf25150-063e-419e-86a9-17ce508bc218&pf_rd_r=5W4N38Q3YNFDTCWS14N0&pd_rd_wg=TvcIM&pd_rd_r=05c97f9b-314a-4c0f-8606-688a50dd9126&pd_rd_i=B07MPPY3CV&psc=1,,,,,only brazil people,tax brazil,FYFUTDY,amazon,"https://t.me/messging_sending_testing,https://t.me/KJDHJKD"
